Name,Rarity,Class,Type,Global release,Japan release,Global EZA release,Japan EZA release,Global EZA,Japan EZA,HP 55%,ATK 55%,DEF 55%,HP 100%,ATK 100%,DEF 100%,HP 55% EZA,ATK 55% EZA,DEF 55% EZA,HP 100% EZA,ATK 100% EZA,DEF 100% EZA,Categories,ID,Url
Absolute Loss Yamcha,UR,Super,TEQ,2017-03-07,2016-04-01,na,na,No,No,6972,7211,5592,8532,9251,7392,na,na,na,na,na,na,"World Tournament, DB Saga, Worthy Rivals, Kamehameha (Category), Bond of Master and Disciple, Earthlings, Turtle School, Earth-Bred Fighters",1732,https://dbz-dokkanbattle.fandom.com/wiki/Absolute_Loss_Yamcha
Absolute Power Jiren,UR,Super,STR,2018-10-26,2018-04-26,na,na,No,No,11590,12780,8606,14590,16180,11206,na,na,na,na,na,na,"Realm of Gods, Universe Survival Saga, Universe 11, Space-Traveling Warriors, Defenders of Justice",11394,https://dbz-dokkanbattle.fandom.com/wiki/Absolute_Power_Jiren
Absolute Suppression Turles,UR,Extreme,TEQ,2017-08-25,2017-05-26,na,2023-08-11,No,Yes,10289,8777,6458,11849,10817,8258,12928,10977,7985,14488,13017,9785,"Low-Class Warrior, Movie Bosses, Pure Saiyans, Terrifying Conquerors, Space-Traveling Warriors, Planetary Destruction",1998,https://dbz-dokkanbattle.fandom.com/wiki/Absolute_Suppression_Turles
Accelerated Battle Super Saiyan God Goku,UR,Super,INT,2017-08-23,2017-05-08,2023-03-23,2023-03-23,Yes,Yes,11389,10426,5933,14389,13426,8933,14556,13268,7260,17556,16268,10260,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Kamehameha (Category), Turtle School, Miraculous Awakening, Legendary Existence, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",11073,https://dbz-dokkanbattle.fandom.com/wiki/Accelerated_Battle_Super_Saiyan_God_Goku
Accrued Strength Super Saiyan Goku,UR,Super,INT,2017-08-12,2017-06-01,na,na,No,No,10929,10021,6669,13929,13021,9669,na,na,na,na,na,na,"Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha (Category), Turtle School, Bond of Friendship, Accelerated Battle, Bond of Parent and Child, Earth-Bred Fighters",11072,https://dbz-dokkanbattle.fandom.com/wiki/Accrued_Strength_Super_Saiyan_Goku
Accumulated Bloodlust Dr. Gero & Android 19,UR,Extreme,INT,2022-02-01,2021-11-30,na,na,No,No,8809,11251,7811,11809,14251,10811,na,na,na,na,na,na,"Androids, Joined Forces, Androids-Cell Saga, Target: Goku, Power Absorption",12338,https://dbz-dokkanbattle.fandom.com/wiki/Accumulated_Bloodlust_Dr._Gero_%26_Android_19
Adventure in Another World Pan (Xeno),UR,Super,INT,2021-11-25,2021-11-25,na,na,No,No,9833,11618,6834,12833,14618,9834,na,na,na,na,na,na,"Hybrid Saiyans, Time Travelers, Goku's Family, Youth, Dragon Ball Heroes, Crossover, Defenders of Justice, Bond of Parent and Child, Earth-Bred Fighters",12326,https://dbz-dokkanbattle.fandom.com/wiki/Adventure_in_Another_World_Pan_(Xeno)
Agent of Destruction Syn Shenron,UR,Extreme,PHY,2017-02-15,2016-09-30,2021-10-28,2021-05-20,Yes,Yes,10295,9934,8700,13695,12934,11300,13015,12535,10897,16415,15535,13497,"Shadow Dragon Saga, Inhuman Deeds, GT Bosses",1633,https://dbz-dokkanbattle.fandom.com/wiki/Agent_of_Destruction_Syn_Shenron
All-New Power Super Saiyan 3 Trunks (Teen),UR,Super,AGL,2019-08-13,2019-06-21,2021-11-25,2021-11-25,Yes,Yes,11989,10017,7758,14589,13017,11158,15358,12722,9700,17958,15722,13100,"Hybrid Saiyans, Super Saiyan 3, Time Travelers, Vegeta's Family, Bond of Master and Disciple, Dragon Ball Heroes, Battle of Wits, Crossover, Entrusted Will, Power Beyond Super Saiyan, Earth-Bred Fighters",11674,https://dbz-dokkanbattle.fandom.com/wiki/All-New_Power_Super_Saiyan_3_Trunks_(Teen)
All-or-nothing Punch Goku (Youth),UR,Super,INT,2019-06-06,2019-03-05,2023-02-08,2022-10-11,Yes,Yes,12630,12884,7955,15630,15884,10955,16215,16555,9964,19215,19555,12964,"Low-Class Warrior, Full Power, Pure Saiyans, Goku's Family, Dragon Ball Seekers, Youth, DB Saga, Kamehameha (Category), Bond of Master and Disciple, Revenge, Rapid Growth, Saviors, Giant Ape Power, Turtle School, Powerful Comeback, Bond of Friendship, Accelerated Battle, Battle of Fate, Bond of Parent and Child, Earth-Bred Fighters",11657,https://dbz-dokkanbattle.fandom.com/wiki/All-or-nothing_Punch_Goku_(Youth)
All-Out Focus Tien,UR,Super,TEQ,2020-06-15,2020-03-10,na,na,No,No,12988,11260,7181,15588,14660,10181,na,na,na,na,na,na,"Worthy Rivals, Androids-Cell Saga, Final Trump Card, Earthlings, All-Out Struggle, Saviors, Connected Hope, Bond of Friendship, Earth-Bred Fighters",11514,https://dbz-dokkanbattle.fandom.com/wiki/All-Out_Focus_Tien
All-Out Power of Friendship Hacchan,UR,Super,AGL,2023-02-01,2022-10-04,na,na,No,No,12815,9156,8428,15415,12156,11828,na,na,na,na,na,na,"DB Saga, Androids, Movie Heroes, Artificial Life Forms, Bond of Friendship",12504,https://dbz-dokkanbattle.fandom.com/wiki/All-Out_Power_of_Friendship_Hacchan
All-Out Resistance Great Saiyaman (SS),UR,Super,STR,2020-05-08,2019-12-26,na,na,No,No,9936,11166,7347,12936,14566,9947,na,na,na,na,na,na,"Hybrid Saiyans, Majin Buu Saga, Goku's Family, Siblings' Bond, Super Saiyans, Kamehameha (Category), Special Pose, Defenders of Justice, Bond of Parent and Child, Earth-Bred Fighters",11858,https://dbz-dokkanbattle.fandom.com/wiki/All-Out_Resistance_Great_Saiyaman_(SS)
All-Out Showdown! Goku (Dokkan Butoden),UR,Super,PHY,2021-04-02,2021-04-02,2021-04-02,2021-04-02,Yes,Yes,8488,10488,6488,10888,12888,8888,10811,13486,8137,13211,15886,10537,"Low-Class Warrior, Pure Saiyans, Full Power, Goku's Family, Kamehameha (Category), Turtle School, Bond of Friendship, Accelerated Battle, Battle of Fate, Saiyan Saga, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",12149,https://dbz-dokkanbattle.fandom.com/wiki/All-Out_Showdown!_Goku_(Dokkan_Butoden)
All-Piercing Fusion Power Super Saiyan 4 Vegito (Xeno),UR,Super,PHY,2020-11-19,2020-11-19,na,na,No,No,15800,14316,6830,19200,17316,9430,na,na,na,na,na,na,"Potara, Time Travelers, Kamehameha (Category), Dragon Ball Heroes, Final Trump Card, Battle of Wits, Giant Ape Power, Crossover, Defenders of Justice, Time Limit, Power Beyond Super Saiyan, Fused Fighters",12065,https://dbz-dokkanbattle.fandom.com/wiki/All-Piercing_Fusion_Power_Super_Saiyan_4_Vegito_(Xeno)
Ally of Love and Friendship Videl,UR,Super,STR,2021-08-10,2021-04-01,na,na,No,No,18555,10546,10165,21555,13946,12765,na,na,na,na,na,na,"Peppy Gals, Majin Buu Saga, Earthlings, Defenders of Justice, Bond of Parent and Child, Earth-Bred Fighters",12181,https://dbz-dokkanbattle.fandom.com/wiki/Ally_of_Love_and_Friendship_Videl
Almighty Cleave Cooler,UR,Extreme,AGL,2017-08-29,2017-03-01,2020-11-06,2020-06-02,Yes,Yes,8155,9052,6033,9715,10852,8073,10360,11542,7565,11920,13342,9605,"Movie Bosses, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Target: Goku, Space-Traveling Warriors, Planetary Destruction",1911,https://dbz-dokkanbattle.fandom.com/wiki/Almighty_Cleave_Cooler
An Invasion Bet on Primacy King Vegeta,UR,Extreme,INT,2022-11-28,2022-07-07,2022-11-28,2022-07-07,Yes,Yes,11373,8921,5971,13173,10721,7771,14804,11525,7580,16604,13325,9380,"Pure Saiyans, Vegeta's Family, Terrifying Conquerors, Inhuman Deeds, Space-Traveling Warriors, Storied Figures",12403,https://dbz-dokkanbattle.fandom.com/wiki/An_Invasion_Bet_on_Primacy_King_Vegeta
Angelic Instruction Whis,UR,Super,AGL,2021-03-01,2020-11-30,na,na,No,No,10983,8380,5140,12543,10180,7180,na,na,na,na,na,na,"Realm of Gods, Siblings' Bond, Bond of Master and Disciple, Space-Traveling Warriors",11966,https://dbz-dokkanbattle.fandom.com/wiki/Angelic_Instruction_Whis
Answers Found in Training Super Saiyan Goku/Super Saiyan Gohan (Youth),UR,Super,TEQ,2019-08-27,2019-08-27,2019-09-13,2019-09-13,Yes,Yes,7072,8412,4923,9472,10812,7323,8917,10710,6044,11317,13110,8444,"Pure Saiyans, Goku's Family, Super Saiyans, Androids-Cell Saga, Kamehameha (Category), Bond of Master and Disciple, Rapid Growth, Turtle School, Heavenly Events, Bond of Friendship, Accelerated Battle, Bond of Parent and Child, Earth-Bred Fighters",11774,https://dbz-dokkanbattle.fandom.com/wiki/Answers_Found_in_Training_Super_Saiyan_Goku/Super_Saiyan_Gohan_(Youth)
Ascending to Godhood Super Saiyan God SS Vegeta,UR,Super,PHY,2017-05-08,2017-01-13,2023-01-09,2022-06-21,Yes,Yes,11205,9544,7128,14605,12544,9728,14123,11936,8754,17523,14936,11354,"Realm of Gods, Pure Saiyans, Movie Heroes, Vegeta's Family, Siblings' Bond, Worthy Rivals, Bond of Master and Disciple, Gifted Warriors, Mastered Evolution, Battle of Fate, Power Beyond Super Saiyan",1973,https://dbz-dokkanbattle.fandom.com/wiki/Ascending_to_Godhood_Super_Saiyan_God_SS_Vegeta
Assassin's Ultimate Technique Hit,UR,Extreme,TEQ,2018-12-24,2019-04-01,2021-12-09,2021-10-21,Yes,Yes,15360,13196,6200,17960,16596,9200,19692,16826,7562,22292,20226,10562,"Universe Survival Saga, Universe 6, Target: Goku, Rapid Growth, Space-Traveling Warriors, Legendary Existence, Accelerated Battle",11567,https://dbz-dokkanbattle.fandom.com/wiki/Assassin%27s_Ultimate_Technique_Hit
Astonishing Reincarnation Uub (Youth),UR,Super,PHY,2020-09-25,2020-09-25,2020-09-25,2020-09-25,Yes,Yes,9037,8064,5758,11077,9864,7318,11681,10379,7295,13721,12179,8855,"World Tournament, Resurrected Warriors, Majin Buu Saga, Youth, Bond of Master and Disciple, Earthlings, Earth-Bred Fighters",12081,https://dbz-dokkanbattle.fandom.com/wiki/Astonishing_Reincarnation_Uub_(Youth)
Astounding Fusion Power Gotenks,UR,Super,INT,2020-11-06,2020-04-24,na,na,No,No,13400,14020,9150,16400,17020,12150,na,na,na,na,na,na,"Fusion, Hybrid Saiyans, Majin Buu Saga, Super Saiyan 3, Transformation Boost, Youth, Super Saiyans, Final Trump Card, Special Pose, Rapid Growth, Saviors, Connected Hope, Gifted Warriors, Heavenly Events, Time Limit, Mastered Evolution, Entrusted Will, Power Beyond Super Saiyan, Fused Fighters, Earth-Bred Fighters",11963,https://dbz-dokkanbattle.fandom.com/wiki/Astounding_Fusion_Power_Gotenks
Astounding Fusion Technique Yamhan,UR,Super,PHY,2022-02-08,2021-12-16,2022-02-22,2021-12-28,Yes,Yes,9684,8218,4934,11724,10018,6494,12658,10710,6239,14698,12510,7799,"Fusion, Earthlings, Crossover, Time Limit, Fused Fighters, Earth-Bred Fighters",12364,https://dbz-dokkanbattle.fandom.com/wiki/Astounding_Fusion_Technique_Yamhan
Astounding Transformation Super Saiyan 3 Goku (Angel),UR,Super,TEQ,2017-10-12,2017-03-17,2021-11-18,2021-07-13,Yes,Yes,12625,13350,6625,15225,16750,9625,15430,16346,7846,18030,19746,10846,"Resurrected Warriors, Majin Buu Saga, Super Saiyan 3, Pure Saiyans, Movie Heroes, Goku's Family, Otherworld Warriors, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11026,https://dbz-dokkanbattle.fandom.com/wiki/Astounding_Transformation_Super_Saiyan_3_Goku_(Angel)
Atrocious Crackdown Raditz (Giant Ape),UR,Extreme,STR,2017-09-07,2017-06-30,2021-10-07,2022-03-18,Yes,Yes,11021,9801,6898,14021,13201,9498,14064,12432,8550,17064,15832,11150,"Low-Class Warrior, Giant Form, Pure Saiyans, Goku's Family, Terrifying Conquerors, Giant Ape Power, Space-Traveling Warriors, Saiyan Saga",11078,https://dbz-dokkanbattle.fandom.com/wiki/Atrocious_Crackdown_Raditz_(Giant_Ape)
Avengers from Hell Dr. Myuu & Dr. Gero,UR,Extreme,PHY,2023-05-31,2023-03-06,na,na,No,No,10962,10550,7604,14362,13550,10204,na,na,na,na,na,na,"Joined Forces, Terrifying Conquerors, Target: Goku, Battle of Wits",12623,https://dbz-dokkanbattle.fandom.com/wiki/Avengers_from_Hell_Dr._Myuu_%26_Dr._Gero
Awakened Berserker Kale (Berserk),UR,Super,PHY,2018-05-15,2018-03-18,2020-12-15,2020-06-16,Yes,Yes,11692,10791,5513,15092,13791,8113,14962,13757,6698,18362,16757,9298,"Universe Survival Saga, Pure Saiyans, Universe 6, Exploding Rage, Power Beyond Super Saiyan",11342,https://dbz-dokkanbattle.fandom.com/wiki/Awakened_Berserker_Kale_(Berserk)
Azure Omnipotence Super Saiyan God SS Vegito,UR,Super,PHY,2017-04-14,2016-11-17,2020-02-25,2020-05-14,Yes,Yes,12300,13500,6551,15700,16500,9151,14661,16137,7594,18061,19137,10194,"Realm of Gods, Potara, Future Saga, Time Travelers, Kamehameha (Category), Final Trump Card, Battle of Wits, Time Limit, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Fused Fighters, Super Heroes",1933,https://dbz-dokkanbattle.fandom.com/wiki/Azure_Omnipotence_Super_Saiyan_God_SS_Vegito
Back on the Front Line Krillin,UR,Super,TEQ,2017-10-30,2017-08-10,2023-02-08,2022-10-11,Yes,Yes,10037,8891,6328,11597,10931,8128,13018,11485,8058,14578,13525,9858,"Movie Heroes, Earthlings, Saviors, Battle of Wits, Turtle School, Bond of Friendship, Earth-Bred Fighters",11097,https://dbz-dokkanbattle.fandom.com/wiki/Back_on_the_Front_Line_Krillin
Battle Against the Fate of Annihilation Bardock,UR,Super,TEQ,2023-03-01,2022-10-31,na,na,No,No,16235,11996,9513,18835,15396,12513,na,na,na,na,na,na,"Low-Class Warrior, Pure Saiyans, Goku's Family, Team Bardock, All-Out Struggle, Space-Traveling Warriors, Connected Hope, Storied Figures, Entrusted Will, Bond of Parent and Child",12509,https://dbz-dokkanbattle.fandom.com/wiki/Battle_Against_the_Fate_of_Annihilation_Bardock
Battle as a Namekian Piccolo,UR,Super,AGL,2018-08-28,2018-08-28,2018-09-04,2018-09-04,Yes,Yes,7779,8261,4608,10179,10661,7008,9863,10508,5623,12263,12908,8023,"Planet Namek Saga, Namekians, Resurrected Warriors, Worthy Rivals, Bond of Master and Disciple, Saviors, Battle of Wits, Connected Hope, Gifted Warriors, Entrusted Will, Fused Fighters, Earth-Bred Fighters, Power of Wishes",11468,https://dbz-dokkanbattle.fandom.com/wiki/Battle_as_a_Namekian_Piccolo
Battle Expert Krillin,UR,Super,STR,2021-01-25,2020-10-26,2021-01-25,2020-10-26,Yes,Yes,9111,8443,5772,10911,10483,7332,11779,10886,7314,13579,12926,8874,"Earthlings, Battle of Wits, Turtle School, Bond of Friendship, Saiyan Saga, Earth-Bred Fighters",12145,https://dbz-dokkanbattle.fandom.com/wiki/Battle_Expert_Krillin
Battle in Another World Trunks (Xeno),UR,Super,PHY,2016-11-02,2016-06-09,na,na,No,No,10423,9802,6751,13823,12802,9351,na,na,na,na,na,na,"Hybrid Saiyans, Time Travelers, Vegeta's Family, Bond of Master and Disciple, Battle of Wits, Crossover, Defenders of Justice, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters",1803,https://dbz-dokkanbattle.fandom.com/wiki/Battle_in_Another_World_Trunks_(Xeno)
Battle Instinct to Resist Fate Super Saiyan 4 Bardock,UR,Super,STR,2022-11-22,2022-11-22,na,na,No,No,14640,13794,8063,17640,17194,10663,na,na,na,na,na,na,"Resurrected Warriors, Pure Saiyans, Time Travelers, Goku's Family, Dragon Ball Heroes, Giant Ape Power, Crossover, Storied Figures, Power Beyond Super Saiyan, Bond of Parent and Child",12534,https://dbz-dokkanbattle.fandom.com/wiki/Battle_Instinct_to_Resist_Fate_Super_Saiyan_4_Bardock
Battle of Epic Proportions Super Saiyan Goku (GT),UR,Super,STR,2017-08-25,2017-05-26,na,2023-06-23,No,Yes,10381,8999,6133,12181,11039,7693,13047,11264,7565,14847,13304,9125,"Pure Saiyans, Dragon Ball Seekers, Goku's Family, Super Saiyans, Kamehameha (Category), Space-Traveling Warriors, Turtle School, GT Heroes, Bond of Friendship, Bond of Parent and Child, Earth-Bred Fighters",1995,https://dbz-dokkanbattle.fandom.com/wiki/Battle_of_Epic_Proportions_Super_Saiyan_Goku_(GT)
Battle of Supreme Proportions Super Saiyan 4 Vegeta,UR,Super,STR,2019-07-09,2019-01-30,na,na,No,No,11144,11790,6503,14144,15190,9103,na,na,na,na,na,na,"Shadow Dragon Saga, Pure Saiyans, Vegeta's Family, Worthy Rivals, Saviors, Giant Ape Power, Miraculous Awakening, Gifted Warriors, GT Heroes, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child",11577,https://dbz-dokkanbattle.fandom.com/wiki/Battle_of_Supreme_Proportions_Super_Saiyan_4_Vegeta
Battle to Become the Strongest Super Saiyan Goku (GT),UR,Super,PHY,2021-04-28,2021-04-28,na,na,No,No,17750,12220,9225,21150,15220,11825,na,na,na,na,na,na,"Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha (Category), Giant Ape Power, Turtle School, GT Heroes, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",12192,https://dbz-dokkanbattle.fandom.com/wiki/Battle_to_Become_the_Strongest_Super_Saiyan_Goku_(GT)
Battle to Protect Tomorrow Super Saiyan 2 Goku,UR,Super,PHY,2022-04-01,2021-12-28,na,na,No,No,15800,12402,9223,19200,15402,11823,na,na,na,na,na,na,"Majin Buu Saga, Super Saiyan 3, Pure Saiyans, Transformation Boost, Goku's Family, Kamehameha (Category), Super Saiyan 2, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",12346,https://dbz-dokkanbattle.fandom.com/wiki/Battle_to_Protect_Tomorrow_Super_Saiyan_2_Goku
Battle to Reach the Top Super Saiyan Vegeta (GT),UR,Super,INT,2021-04-28,2021-04-28,na,na,No,No,16400,11800,10425,19400,14800,13425,na,na,na,na,na,na,"Pure Saiyans, Vegeta's Family, Super Saiyans, Worthy Rivals, Giant Ape Power, Gifted Warriors, GT Heroes, Power Beyond Super Saiyan, Bond of Parent and Child",12194,https://dbz-dokkanbattle.fandom.com/wiki/Battle_to_Reach_the_Top_Super_Saiyan_Vegeta_(GT)
Battle-Hardened Hero Bardock,UR,Super,STR,2020-03-18,2020-03-18,2022-06-20,2022-03-18,Yes,Yes,6676,9148,6001,9076,11548,8401,8388,11694,7486,10788,14094,9886,"Low-Class Warrior, Pure Saiyans, Goku's Family, Team Bardock, Space-Traveling Warriors, Storied Figures, Entrusted Will",11924,https://dbz-dokkanbattle.fandom.com/wiki/Battle-Hardened_Hero_Bardock
Beautiful Demon's True Nature Mamba,UR,Extreme,AGL,na,2023-08-17,na,na,No,No,12810,8667,7609,15410,11667,11009,na,na,na,na,na,na,"Peppy Gals, Earthlings, Battle of Wits",12718,https://dbz-dokkanbattle.fandom.com/wiki/Beautiful_Demon%27s_True_Nature_Mamba
Becoming a Furious God Super Saiyan God SS Goku,UR,Super,AGL,2019-02-13,2018-12-26,2019-02-13,2018-12-27,Yes,Yes,7713,9248,4940,9273,11048,6980,9910,11963,6201,11470,13763,8241,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Kamehameha (Category), Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes",11610,https://dbz-dokkanbattle.fandom.com/wiki/Becoming_a_Furious_God_Super_Saiyan_God_SS_Goku
Best Measure Whis,UR,Super,STR,2020-06-08,2020-03-03,na,na,No,No,11373,10879,6988,14373,14279,9588,na,na,na,na,na,na,"Realm of Gods, Siblings' Bond, Bond of Master and Disciple, Space-Traveling Warriors",11936,https://dbz-dokkanbattle.fandom.com/wiki/Best_Measure_Whis
Beyond Destiny Karoly,UR,Super,TEQ,2017-03-30,2016-10-05,2022-02-08,2021-12-16,Yes,Yes,11756,10095,6163,14356,13495,9163,14612,12557,7143,17212,15957,10143,"Fusion, Crossover, Fused Fighters",1924,https://dbz-dokkanbattle.fandom.com/wiki/Beyond_Destiny_Karoly
Birth of a Hero Gohan (Teen),UR,Super,STR,2017-05-03,2017-02-09,2023-06-30,2023-04-14,Yes,Yes,9515,8882,5565,11315,10922,7125,11929,11113,6832,13729,13153,8392,"Hybrid Saiyans, Resurrected Warriors, Majin Buu Saga, Goku's Family, Siblings' Bond, Saviors, Defenders of Justice, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters",1996,https://dbz-dokkanbattle.fandom.com/wiki/Birth_of_a_Hero_Gohan_(Teen)
Blade of Hope and Dreams Super Saiyan Trunks (Future),UR,Super,INT,2017-05-25,2016-12-28,2020-06-26,2020-04-09,Yes,Yes,11524,11074,6754,14524,14074,9754,14544,13952,8261,17544,16952,11261,"Hybrid Saiyans, Future Saga, Time Travelers, Vegeta's Family, Super Saiyans, Bond of Master and Disciple, Revenge, Battle of Wits, Miraculous Awakening, Entrusted Will, Battle of Fate, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes, Power of Wishes",1958,https://dbz-dokkanbattle.fandom.com/wiki/Blade_of_Hope_and_Dreams_Super_Saiyan_Trunks_(Future)
Blast of Fury Super Saiyan Gohan (Teen),UR,Super,INT,2017-03-03,2016-10-13,2021-03-18,2020-12-15,Yes,Yes,10230,9546,6578,13230,12546,9578,12665,11761,7680,15665,14761,10680,"Hybrid Saiyans, Majin Buu Saga, Goku's Family, Siblings' Bond, Super Saiyans, Kamehameha (Category), Defenders of Justice, Bond of Parent and Child, Earth-Bred Fighters",1854,https://dbz-dokkanbattle.fandom.com/wiki/Blast_of_Fury_Super_Saiyan_Gohan_(Teen)
Blazing Clash Paikuhan,UR,Super,STR,na,2017-07-14,na,na,No,No,11529,9805,7015,14529,13205,9615,na,na,na,na,na,na,"Worthy Rivals, Otherworld Warriors, Saviors, Battle of Wits, Storied Figures",11104,https://dbz-dokkanbattle.fandom.com/wiki/Blazing_Clash_Paikuhan
Blazing Fusion Warrior Super Saiyan 3 Gotenks (Teen),UR,Super,TEQ,2019-08-13,2017-06-01,2021-11-25,2021-11-25,Yes,Yes,11718,10107,6543,14318,13507,9543,14723,12555,7942,17323,15955,10942,"Fusion, Hybrid Saiyans, Super Saiyan 3, Kamehameha (Category), Dragon Ball Heroes, Crossover, Time Limit, Power Beyond Super Saiyan, Fused Fighters, Earth-Bred Fighters",1774,https://dbz-dokkanbattle.fandom.com/wiki/Blazing_Fusion_Warrior_Super_Saiyan_3_Gotenks_(Teen)
